上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
000001,平安银行,J,金融业,,,66,货币金融服务
000002,万科A,K,房地产业,,,70,房地产业
000004,*ST国华,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000006,深振业A,K,房地产业,,,70,房地产业
000007,全新好,K,房地产业,,,70,房地产业
000008,神州高铁,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
000009,中国宝安,J,金融业,,,69,其他金融业
000010,美丽生态,E,建筑业,,,48,土木工程建筑业
000011,深物业A,K,房地产业,,,70,房地产业
000012,南玻A,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000014,沙河股份,K,房地产业,,,70,房地产业
000016,深康佳A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000017,深中华A,C,制造业,CD,造纸、印刷、文教,24,文教、工美、体育和娱乐用品制造业
000019,深粮控股,F,批发和零售业,,,51,批发业
000020,深华发A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000021,深科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000025,特力A,F,批发和零售业,,,51,批发业
000026,飞亚达,F,批发和零售业,,,52,零售业
000027,深圳能源,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000028,国药一致,F,批发和零售业,,,51,批发业
000029,深深房A,K,房地产业,,,70,房地产业
000030,富奥股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000031,大悦城,K,房地产业,,,70,房地产业
000032,深桑达A,E,建筑业,,,49,建筑安装业
000034,神州数码,F,批发和零售业,,,51,批发业
000035,中国天楹,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
000036,华联控股,K,房地产业,,,70,房地产业
000037,深南电A,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000039,中集集团,C,制造业,CF,金属、非金属,33,金属制品业
000042,中洲控股,K,房地产业,,,70,房地产业
000045,深纺织A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000048,京基智农,A,农、林、牧、渔业,,,03,畜牧业
000049,德赛电池,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000050,深天马A,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000055,方大集团,C,制造业,CF,金属、非金属,33,金属制品业
000056,皇庭国际,L,租赁和商务服务业,,,72,商务服务业
000058,深赛格,L,租赁和商务服务业,,,72,商务服务业
000059,华锦股份,C,制造业,CE,石油、化学、生物医药,25,石油、煤炭及其他燃料加工业
000060,中金岭南,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
000061,农产品,L,租赁和商务服务业,,,72,商务服务业
000062,深圳华强,F,批发和零售业,,,51,批发业
000063,中兴通讯,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000065,北方国际,F,批发和零售业,,,51,批发业
000066,中国长城,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000068,华控赛格,F,批发和零售业,,,51,批发业
000069,华侨城A,K,房地产业,,,70,房地产业
000070,特发信息,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000078,海王生物,F,批发和零售业,,,51,批发业
000088,盐田港,G,交通运输、仓储和邮政业,,,55,水上运输业
000089,深圳机场,G,交通运输、仓储和邮政业,,,56,航空运输业
000090,天健集团,E,建筑业,,,48,土木工程建筑业
000096,广聚能源,F,批发和零售业,,,51,批发业
000099,中信海直,G,交通运输、仓储和邮政业,,,56,航空运输业
000100,TCL科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000151,中成股份,F,批发和零售业,,,51,批发业
000153,丰原药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000155,川能动力,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000156,华数传媒,I,信息传输、软件和信息技术服务业,,,63,电信、广播电视和卫星传输服务
000157,中联重科,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000158,常山北明,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000159,国际实业,F,批发和零售业,,,51,批发业
000166,申万宏源,J,金融业,,,67,资本市场服务
000301,东方盛虹,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000333,美的集团,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000338,潍柴动力,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
000400,许继电气,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000401,金隅冀东,C,制造业,CF,金属、非金属,30,非金属矿物制品业
000402,金融街,K,房地产业,,,70,房地产业
000403,派林生物,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000404,长虹华意,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000407,胜利股份,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
000408,藏格矿业,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000409,云鼎科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
000410,沈阳机床,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000411,英特集团,F,批发和零售业,,,51,批发业
000415,渤海租赁,L,租赁和商务服务业,,,71,租赁业
000417,合百集团,F,批发和零售业,,,52,零售业
000419,通程控股,F,批发和零售业,,,52,零售业
000420,吉林化纤,C,制造业,CE,石油、化学、生物医药,28,化学纤维制造业
000421,南京公用,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
000422,湖北宜化,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000423,东阿阿胶,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000425,徐工机械,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000426,兴业银锡,B,采矿业,,,09,有色金属矿采选业
000428,华天酒店,H,住宿和餐饮业,,,61,住宿业
000429,粤高速A,G,交通运输、仓储和邮政业,,,54,道路运输业
000430,ST张家界,N,水利、环境和公共设施管理业,,,78,公共设施管理业
000488,ST晨鸣,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
000498,山东路桥,E,建筑业,,,48,土木工程建筑业
000501,武商集团,F,批发和零售业,,,52,零售业
000503,国新健康,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
000504,*ST生物,M,科学研究和技术服务业,,,75,科技推广和应用服务业
000505,京粮控股,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000506,招金黄金,B,采矿业,,,09,有色金属矿采选业
000507,珠海港,G,交通运输、仓储和邮政业,,,55,水上运输业
000509,华塑控股,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000510,新金路,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000513,丽珠集团,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000514,渝开发,K,房地产业,,,70,房地产业
000516,国际医学,Q,卫生和社会工作,,,84,卫生
000517,荣安地产,K,房地产业,,,70,房地产业
000518,*ST四环,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000519,中兵红箭,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000520,凤凰航运,G,交通运输、仓储和邮政业,,,55,水上运输业
000521,长虹美菱,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000523,红棉股份,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000524,岭南控股,L,租赁和商务服务业,,,72,商务服务业
000525,红太阳,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
000526,学大教育,P,教育,,,83,教育
000528,柳工,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
000529,广弘控股,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
000530,冰山冷热,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
000531,穗恒运A,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000532,华金资本,S,综合,,,91,综合
000533,顺钠股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
000534,万泽股份,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000536,华映科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
000537,中绿电,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000538,云南白药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
000539,粤电力A,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
000541,佛山照明,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
